学校地址,学校名称
西安市友谊东路120号,西安市铁一中学
西安市碑林区友谊西路127号,西北工业大学附属中学
西安市雁翔路99号,西安交通大学附属中学
西安市灞桥区灞丰二路1号,西安铁一中滨河高级中学
西安市雁塔区慈恩西路12号,陕西师范大学附属中学
西安市高新区唐延路23号(南校区:西沣路辅道78号,西安高新第一中学
西安市友谊东路120号,西安铁一中国际合作学校
西安市经开区凤城五路69号,陕西省西安中学
西安市碑林区长乐坊77号,西安市第三中学
西安国际港务区港安路,西安国际港务区铁一中陆港高级中学
西安市雁塔区雁南一路中段,西安崇是中学
长安区韦曲街道西四府村甲字二号,西安市长安区第一中学
西安市莲湖区环城西路铁塔寺3号,西安市第一中学
西咸新区沣西新城钓台街道南环洋东路,西安市创新港中学
西安市咸宁中路151号,西安市第八十三中学
西安市曲江新区曲江路396号,西安市曲江第一中学
西安市雁塔区翠华路254号,西安市第八十五中学
长安区子午大道与学府大街十字西南角,西安湖滨中学
西咸新区能源金融贸易区能源三路,西咸新区铁一中金湾中学
西安市建国路118号,西安市第二十六中学
西安市新城区后宰门143号,西安市第八十九中学
西安市航天产业基地航天南路180号,西安交通大学附属中学航天高级中学
西安市经开区草滩五路1001号,西安市经开第一中学
西安国际港务区元朔大道和全运路交汇处,西安国际港务区高新一中陆港中学
西咸新区沣东新城沣东大道1066号,西安高新一中沣东中学
西安市高新四路15号西北大学桃园校区,西北大学附属中学
西安市碑林区柏树林街道东县门8号,西安市第八中学
西安市新城区后宰门143号,西安市第八十九中学分校
西安市高新区定昆池二路151号,西安市高新第二高级中学
西安市未央区崇文路559号,西安高级中学
西咸新区空港新城俊采大街1389号,西咸新区空港实验高级中学
西安市新城区韩森寨街道万寿中路68号,西安市西光中学
陕西省西咸新区秦汉新城兰池大道秦宫二路,陕西省西咸新区秦汉中学
西安市高新区竹南路816号,西安高新一中实验中学
雁塔寺街5号西安市六中南校区,西安市第六中学
西安市高新区丈八五路39号,西安高新第三中学
西安市未央区汇文南路1666号,西安市第七十五中学
西安市雁塔区科技路39号,西安电子科技大学附属中学
西安市灞桥区纺织城纺建路151号,西安市第五十五中学
西安航天基地航拓路1666号,西安市航天城第一中学
西安市碑林区建设路139号西安建筑科技大学南院,西安建筑科技大学附属中学
西安市未央区徐家湾渭滨东路1号,西安市西航一中
西安市灞桥区纺织城纺四路568号,西安市东城第一中学
西安市长安区航腾路与神州大道西南角,西安市航天城第二中学
长安区韦曲街道双竹村甲字1号,西安市长安区第一民办中学
西安市雁塔区博文路199号,西安高新唐南中学
雁塔寺街5号西安市六中南校区,西安市第六中学分校
西安市曲江新区公田二路999号,西安市曲江第二中学
西安市新城区长缨西路50号,西安市第七十二中学
西安市碑林区长乐坊110号(三中南校区),西安市第二中学
土门沣镐一坊3号,西安市庆安高级中学
汉城东路27号,西安市远东第一中学
大庆路西段丰隆路北口,西安市远东第二中学
西安市沪港国际港产漏二路,西安市西大附中浐灞中学
雁塔区西洋四路555号,西安市雁塔区第二中学
碑林区友谊西路286号,西安市第八十二中学
西安市灞桥区纺六路126号,西安市五环中学
西安市经开区泾渭新城泾晖路3号,西安市经开第三中学
西安国家民用航天产业基地凤栖东路258号,西安市航天中学
西安市未央区凤城四路7号,西安市第六十六中学
西大街骆驼巷1号,西安市第七十中学
西安市碑林区含光北路152号,西安市含光中学
西安市雁塔区西影路5号阳光小区内,西安市阳光中学
陕西省西安市新城区金康路8号,西安市黄河中学
港务大道与港兴四路十字西北角,西安国际港务区实验中学
长安区韦曲街道广场南路665号,西安市长安区第二中学
陕西省西咸新区泾河新城泾河大道东段4696号,西咸新区泾河新城第一中学
西安市雁塔区兴善寺东街115号,西安市育才中学
陕西省西咸新区沣东新城建章路47号,西安市车辆中学
西安市沪灞大道3785号,西安市浐灞第二中学
西安市未央区太元路68号,西安市第四十八中学
西安市碑林区太乙路68号,西安市中铁中学
莲湖区团结西路善学巷1号,西安市莲湖第一中学
西安市雁塔区东泰巷505号,西安雁南中学
西安市未央区谭家街道办常青一路86号,西安市第十一中学
北关振华路95号,西安市第十中学
西安市西新街51号,西安市第三十中学
桃园西路16号,西安市西电中学
碑林区明胜路65号,西安市第八十六中学
西安市经开区泾渭新城泾环南路西段8号,西安市经开第二中学
西安市未央区玄武路69号,西安锦园中学
西安市碑林区友谊东路369号,西安市第七十一中学
西安市吉祥路354号,西安太白学校
西安市高新区集贤园振兴北路,西安高新区第五高级中学
西安市雁塔区明德二路36号,西安东仪中学
西安经开区清北新城秦王一路1号,西安市渭北中学
西安市高新区细柳街道府君庙甲字19号,西安市长安区第四中学
西安市东二环景观路西段,西安工业大学附中
西安市雁塔区富鱼路81号,西安藤信高级中学
西安市莲湖区青年路189号,西安市第四十四中学
西安市新城区长乐中路49号,西安市昆仑中学
西安市雁塔区东仪路202号,西安市第四十六中学
西安市莲湖区西关正街379号,西安市第四十二中学
西安市未央区昭远门路与龙翔路十字东北角,西安市第五十八中学
西安市雁塔区西影路396号,西安市第四十五中学
西安市未央区北三环尚耕路西安市汉都新苑中学,西安市汉都新苑中学
西安市临潼区体育路8号,西安市临潼区临潼中学
西安市灞桥区华浦东路162号,西安市第三十四中学
西安经开区凤城一路1号,西安外国语学校
西安市高陵区泾环南路1696号,长庆二中
西安市新城区建强路5号,西安市大明宫中学
西安市雁塔区白沙路中段,西安市第五十三中学
西安市灞桥区洪庆街道向阳二区,西安市宇航中学
西安市新城区新科路59号,西安市东方中学
西安市新城区太华南路226号,西安市第三十八中学
西安浐灞国际港西航花园南500米,西安西港花园高级中学
西安市新城区东四路40号,西安市第四十三中学
